GUID 116e083983bd4a5fa6786b43b326422a
Type Spawn
ID 33002

Roots 6
Root_0_Spawn_ID 331
Root_0_Weight 9
Root_1_Spawn_ID 333
Root_1_Weight 9
Root_1_Spawn_ID 338
Root_1_Weight 9
Root_1_Spawn_ID 381
Root_1_Weight 9
Root_1_Spawn_ID 394
Root_1_Weight 9
Root_1_Spawn_ID 845
Root_1_Weight 9

Tables 68
Table_0_Asset_ID 20129
Table_0_Weight 9
Table_1_Asset_ID 20176
Table_1_Weight 9
Table_2_Asset_ID 20134
Table_2_Weight 9
Table_3_Asset_ID 20112
Table_3_Weight 9
Table_4_Asset_ID 20117
Table_4_Weight 9
Table_5_Asset_ID 20111
Table_5_Weight 9
Table_6_Asset_ID 20141
Table_6_Weight 9
Table_7_Asset_ID 20106
Table_7_Weight 9
Table_8_Asset_ID 20109
Table_8_Weight 9
Table_9_Asset_ID 20158
Table_9_Weight 9
Table_10_Asset_ID 20137
Table_10_Weight 9
Table_11_Asset_ID 20143
Table_11_Weight 9
Table_12_Asset_ID 20115
Table_12_Weight 9
Table_13_Asset_ID 20169
Table_13_Weight 9
Table_14_Asset_ID 20154
Table_14_Weight 9
Table_15_Asset_ID 20153
Table_15_Weight 9
Table_16_Asset_ID 20135
Table_16_Weight 9
Table_17_Asset_ID 20182
Table_17_Weight 9
Table_18_Asset_ID 20118
Table_18_Weight 9
Table_19_Asset_ID 20173
Table_19_Weight 9
Table_20_Asset_ID 20104
Table_20_Weight 9
Table_21_Asset_ID 20183
Table_21_Weight 9
Table_22_Asset_ID 20100
Table_22_Weight 9
Table_23_Asset_ID 20136
Table_23_Weight 9
Table_24_Asset_ID 20132
Table_24_Weight 9
Table_25_Asset_ID 20155
Table_25_Weight 9
Table_26_Asset_ID 20175
Table_26_Weight 9
Table_27_Asset_ID 20179
Table_27_Weight 9
Table_28_Asset_ID 20130
Table_28_Weight 9
Table_29_Asset_ID 20172
Table_29_Weight 9
Table_30_Asset_ID 20114
Table_30_Weight 9
Table_31_Asset_ID 20152
Table_31_Weight 9
Table_32_Asset_ID 20167
Table_32_Weight 9
Table_33_Asset_ID 20164
Table_33_Weight 9
Table_34_Asset_ID 20151
Table_34_Weight 9
Table_35_Asset_ID 20131
Table_35_Weight 9
Table_36_Asset_ID 20181
Table_36_Weight 9
Table_37_Asset_ID 20121
Table_37_Weight 9
Table_38_Asset_ID 20138
Table_38_Weight 9
Table_39_Asset_ID 20157
Table_39_Weight 9
Table_40_Asset_ID 20162
Table_40_Weight 9
Table_41_Asset_ID 20146
Table_41_Weight 9
Table_42_Asset_ID 20156
Table_42_Weight 9
Table_43_Asset_ID 20103
Table_43_Weight 9
Table_44_Asset_ID 20126
Table_44_Weight 9
Table_45_Asset_ID 20140
Table_45_Weight 9
Table_46_Asset_ID 20107
Table_46_Weight 9
Table_47_Asset_ID 20178
Table_47_Weight 9
Table_48_Asset_ID 20160
Table_48_Weight 9
Table_49_Asset_ID 20101
Table_49_Weight 9
Table_50_Asset_ID 20122
Table_50_Weight 9
Table_51_Asset_ID 20190
Table_51_Weight 9
Table_52_Asset_ID 20192
Table_52_Weight 9
Table_53_Asset_ID 20193
Table_53_Weight 9
Table_54_Asset_ID 20194
Table_54_Weight 9
Table_55_Asset_ID 20196
Table_55_Weight 9
Table_56_Asset_ID 20197
Table_56_Weight 9
Table_57_Asset_ID 20199
Table_57_Weight 9
Table_58_Asset_ID 20202
Table_58_Weight 9
Table_59_Asset_ID 20203
Table_59_Weight 9
Table_60_Asset_ID 20201
Table_60_Weight 9
Table_61_Asset_ID 20204
Table_61_Weight 9
Table_62_Asset_ID 20205
Table_62_Weight 9
Table_63_Asset_ID 20206
Table_63_Weight 9
Table_64_Asset_ID 20207
Table_64_Weight 9
Table_65_Asset_ID 20208
Table_65_Weight 9
Table_66_Asset_ID 20209
Table_66_Weight 9
Table_67_Asset_ID 20210
Table_67_Weight 9
